,genus,species,count,centroid_x,centroid_y,std_x,std_y,radio_dis
0,Copris,susanae,17,-73.5077,5.6519,0.0,1.7763568394002505e-15,0.0
1,Docidocercus,fasciatus,7,-73.80439999999999,7.361185714285713,0.0600916680699463,0.0282030610583535,0.0601694724632792
2,Daedadelus,waehnerorum,6,-70.3333,-3.8333,0.0,0.0,0.0
3,Copiphora,gracilis,5,-70.3333,-3.8333,0.0,0.0,0.0
4,Panoploscelis,specularis,5,-70.3333,-3.8333,0.0,0.0,0.0
5,Neoconocephalus,brachypterus,5,-73.5504,5.7892,0.0,0.0,0.0
6,Subria,sylvestris,5,-73.79624,7.304440000000001,0.0623791824249058,0.0419257725033182,0.0731410144647871
7,Oxyprora,surinamensis,4,-73.763025,7.354325,0.0549493118701191,0.0429115587575189,0.0603789827878836
8,Typophyllum,inflatum,4,-70.3333,-3.8333,0.0,0.0,0.0
9,Eschatoceras,bipunctatus,4,-70.3333,-3.8333,0.0,0.0,0.0
10,Cocconotus,aratifrons,3,-73.83730000000001,7.343633333333333,0.0117379725676978,0.0573699301802684,0.0552094105415519
11,Copiphora,colombiae,3,-73.5504,5.7892,0.0,0.0,0.0
12,Orophus,conspersus,2,-73.8582,7.28,0.0,0.0,0.0
13,Ragoniella,pulchella,2,-73.7128,7.3206,0.0,0.0,0.0
